TEXTFILE_FILTER,文本文件(*.txt;*.csv)|*.txt;*.csv||,Text File(*.txt;*.csv)|*.txt;*.csv||,文字檔案(*.txt;*.csv)|*.txt;*.csv||
ENABLE_MOUSE_INPUT_CONSTRACT,可以用鼠标输入合约代码,Enable Mouse Input Constract,可以用滑鼠輸入合約代碼
ENABLE_INPUT_SIMPLE_SPELL,可以输入缩写和拼音,Enable Input Simple Spell,可以輸入縮寫和拼音
CONFIRM_BEFORE_ORDER,下单前确认,Confirm Before Order,下單前確認
AUTO_OPEN_CLOSE_AS_DEFAULT,默认使用自动开平,Auto Open Close As Default,默認使用自動開平
KEEP_TRACK,在跟盘状态下单后继续跟盘,Keep Track After Send Order On Track,在跟盤狀態下單後繼續跟盤
LMT_PRICE_WHILE_NO_MKT,不支持市价的品种用涨跌停限价模拟,Use LMT Price While MKT Not Supplied,不支援市價的品種用漲跌停限價模擬
POPUP_DIALOG_STYLE,弹出框风格,Popup Dialog Style,彈出框風格
INPUT_PRICE_BOX,价格输入框,Input Price Box,價格輸入框
ENABLE_MOUSE_INPUT_PRICE,可以用鼠标输入价格,Enable Mouse Input Price,可以用滑鼠輸入價格
VOLUME_INPUT_BOX,手数输入框,Volume Input Box,手數輸入框
ENABLE_MOUSE_INPUT_FREQUENTLY,可以用鼠标输入常用手数,Enable Mouse Input frequently-used Volumes,可以用滑鼠輸入常用手數
ORDER_BUTTON,下单按钮,Order Button,下單按鈕
PARK_BUTTON,预埋单按钮,Park Button,預埋單按鈕
Q7_NAME,快期,Q7,快期
SUNGARD_NAME,金士达,SunGard,金士達
GROUP,合约组,Group,合約組
GROUP_NAME,合约组名,Group Name,合約組名
SHOW_OR_NOT,是否显示,Show Or Not,是否顯示
MAX_GROUP_IS_EIGHT,最多允许有8个合约组,Max group count is 8.,最多允許有8個合約組
MENU_ID_OPTIONORDER,期权(&O),&Option,期權(&O)
MENU_ID_OPTIONORDER_EXECORDER,查询执行,Query Execute Option Order,查詢執行
MENU_ID_OPTIONORDER_FORQUOTEINSERT,询价,For Quote,詢價
MENU_ID_OPTIONORDER_SUBSUNSUBSFORQUOTE,期权执行查询/撤单,The option to execute the query / withdrawals,期權執行查詢/撤單
GROUP_NAME_CANNOT_BE_EMPTY,名字不能为空,Group Name Can't Be Empty,名字不能為空
CANNOT_DELETE_SYSTEM_GROUP,不能删除系统组合约,Can't Delete System Group,不能刪除系統組合約
SYSTEM_GROUP_CANNOT_BE_RENAME,系统合约组不能改名,System Group Can't Be Rename,系統合約組不能改名
SYSTEM_PROMPT,系统提示,System Prompt,系統提示
CAUTION_USE_QUICK_ORDER,"风险警示:使用快速下单,下单前无确认提示,使用需谨慎!","Caution: Use quick order, there is no confirm prompt before order!","風險警示:使用快速下單,下單前無確認提示,使用需謹慎!"
ENABLE_KEYBOARD_QUICK_ORDER,启用键盘快速下单,Enable KeyBoard Quick Order,啟用鍵盤快速下單
OPERATE_STEP,操作步骤:,Operate Step:,操作步驟:
PRESS_F1_TO_ENTER_QUOTE,1.按 F1  键进入报价表(光标已经在报价表则可省略此步),"1.Press F1 to enter quote(If cursor is in quote, skip this step)",1.按 F1  鍵進入報價表(游標已經在報價表則可省略此步)
USE_KC_SELECT_A_CONSTRACT,2.用上下键移动光标选中合约,2.Use Up and Down to move cursor and select a constract,2.用上下鍵移動游標選中合約
USE_THE_KEYS_ORDER,3.按下表中的键下单,3.Use the keys in the list to order,3.按下表中的鍵下單
WTO_AFTER_ORDER_SEND,发出报单时填充下单板,Write to order input panel after order send,發出報單時填充下單板
SFTQL_AFTER_ORDER_SEND,下单后光标回报价表,Set focus to quot list after order send,下單後游標回報價表
SETTLEMENT,结算单,Settlement,結算單
SETTLEMENT_FOR_DATE,日结单,Settlement for Date,日結單
EXCHANGE_CENTER_SETTLEMENT,监控中心结算,EXCH Center Settlement,監控中心結算
SAVE_AS_FILE,另存文件,Save as File,另存文件
PRINT,打印,Print,列印
PREVIEW,预览,Preview,預覽
TRANSFER_FUNDS,出入金,Transfer Funds,出入金
OUTPORT_FUNDS,出金,Outport Funds,出金
IMPORT_FUNDS,入金,Import Funds,入金
DIRCTION,方向,Dirction,方向
QUERY_TODAY_ONLY,注意：只能查询当天出入金,CAUTION:Query today's transfer funds only.,注意：只能查詢當天出入金
CURRENCY_NAME,币种名称,Currency Name,幣種名稱
FUNDS_TYPE,资金类型,Funds Type,資金類型
SUMMARY,摘要,Summary ,摘要
DATE,日期,Date,日期
SEQUENCE_NUMBER,流水号,Sequence Number,流水號
TRANSFER_DIRECTION,出入金方向,Transfer Direction,出入金方向
BANK_CODE,银行代码,Bank Code,銀行代碼
FAILED_TO_QUERY,查询转帐流水操作失败,Failed to Query,查詢轉帳流水操作失敗
QUERY_TRANSFER_FUNDS,查询出入金,Query Transfer Funds,查詢出入金
SAVE_AND_RETURN,保存并返回主界面,Save and Return,保存並返回主介面
SORT,排序,Sort,排序
SOUND_PROMPT,声音提示:,Sound Prompt:,聲音提示:
ALERT_MESSAGE,用户消息,Alert Message,用戶消息
ALERT_MESSAGE_TEXT,序号: %s\n\n正文: %s\n\n警告: %s,MsgID: %s\n\nMsgText: %s\n\nIsAlert: %s,序號: %s\n\n正文: %s\n\n警告: %s
YES_TEXT,是,Yes,是
NO_TEXT,否,No,否
STATUS_PENDING,挂起,Pending,掛起
STATUS_CLEARED,清除,Cleared,清除
GUI_LOAD_CONFIG_ERROR,配置文件损坏或丢失,Can't find cfg.xml or config file damaged,配置檔損壞或丟失
CHURUJIN_TRADE_SUCCESS,交易成功,Trade Success,交易成功
RMB,人民币,RMB,人民幣
CASH,现金,Cash,現金
ICBC,工商银行,ICBC,工商銀行
ABC,农业银行,ABC,農業銀行
CBC,中国银行,CBC,中國銀行
CCB,建设银行,CCB,建設銀行
BC,交通银行,BC,交通銀行
CMBC,民生银行,CMBC,民生銀行
OTHER_BANK,其他银行,Other Bank,其他銀行
CONFIG_PWD_TYPE,密码类型,PWD Type,密碼類型
CONFIG_TRADE_PWD,1.交易密码,1.Trade PWD,1.交易密碼
CONFIG_ACCOUNT_PWD,2.资金密码,2.Account PWD,2.資金密碼
CONFIG_CLEAR,清空,Clear,清空
CONFIG_MODIFY_PWD_SUCCESSED,修改密码成功,Modify password successed,修改密碼成功
CONFIG_HISTORY_TRADE,历史成交,History trade,歷史成交
CONFIG_GROUP_MAX_LEN,组名长度不能超过10个字符,Group name must be less than 10 characters,組名長度不能超過10個字元
CONFIG_NUMBER_ACCE,数字快捷键,Accelerator,數字快捷鍵
CONFIG_ACCE_INDICATE,代表字符串,Indicated string,代表字串
CONFIG_ACCE_INTRODUCTIONS,快捷键说明,Introductions,快捷鍵說明
CONFIG_ACCE_EG,设置举例,For example,設置舉例
CONFIG_MODIFY,修改,Modify,修改
CONFIG_ACCE_EMPTY,快捷键不能为空,Accelerator key can't be empty,快捷鍵不能為空
CONFIG_ACCE_EMPTY_INDICATE,代表字符串不能为空,Indicated charactes can't be empty,代表字串不能為空
CONFIG_ORDER_PARAM,委托参数,Order parameter,委託參數
CONFIG_MODIFY_ORDER_PARAM,委托参数(鼠标点手数直接修改),Order parameter(Click hands to change),委託參數(滑鼠點手數直接修改)
CONFIG_PERSONALITY_SETUP,个性设置,Personality set up,個性設置
CONFIG_ORDER_CONFIRM,下单时需确认,Need confirm when order,下單時需確認
CONFIG_INPUT_ORDER,设置下单输入顺序,Set input order,設置下單輸入順序
CONFIG_PRICE_TICKER,指定价价位调整,Price ticker,指定價價位調整
CONFIG_PRICE_METHOD,价格调整=价位调整X最小变动价位,PriceTicker=TickerSize*TickPoint,價格調整=價位調整X最小變動價位
CONFIG_CLEAR_PRE_SET,清除上次委托设置,Clear previous order set,清除上次委託設置
CONFIG_ITEM_NAME,项目名,Item name,項目名
CONFIG_SYSTEM_PARAM,系统参数,System parameter,系統參數
CONFIG_HIDE_HOTKEY,隐身热键,Hide hotkey,隱身熱鍵
CONFIG_USE_HIDE_HOTKEY,使用隐身热键,Use hide hotkey,使用隱身熱鍵
CONFIG_APPLY_DEFAULT_SETTING,恢复默认设置,Apply default setting,恢復默認設置
CONFIG_DUPLICATE_HOTKEYS,热键冲突,Duplicate hotkeys,熱鍵衝突
CONFIG_VOICE_PROMPT,提示声,Voice prompt,提示聲
CONFIG_DONOT_USE,不用,Do not use,不用
CONFIG_PC_LOUDSPEAKER,PC喇叭,PC loudspeaker box,PC喇叭
CONFIG_MEDIA_LOUDSPEAKER,多媒体喇叭,Media loudspeaker box,多媒體喇叭
REPORT_PERIOD,报告范围,Report period,報告範圍
REPORT_TODAY,今日,Today,今日
REPORT_RECENT_WEEK,最近一周,Recent week,最近一周
REPORT_RECENT_MONTH,最近一月,Recent month,最近一月
REPORT_SCHEDULE_TIME,指定,Schedule time,指定
REPORT_FROM,从,from,從
REPORT_TO,到,to,到
REPORT_PROJECT,报告项目,Report project,報告專案
REPORT_ACCOUNT_SUMMARY,账户概要,Account summary,帳戶概要
REPORT_TRADE_STASTISTICS,交易统计,Trade statistics,交易統計
REPORT_ENDING_POSITION,期末持仓,Ending position,期末持倉
REPORT_CLOSE_POSITION_RECORD,平仓记录,Close position record,平倉記錄
REPORT_GENERATE_REPORT,生成报告,Generate report,生成報告
GUI_SELL,卖,Sell,賣
GUI_BUY,买,Buy,買
GUI_SEARCH_DAILY_STATEMENT,查日结算单,Query daily statement,查日結算單
GUI_SEARCH_MONTHLY_STATEMENT,查月结算单,Query monthly statement,查月結算單
GUI_SAVE_TO_FILE,保存到文件,Save to file,保存到檔
GUI_QUERY_INSTRUMENT,查询合约信息:,Query instrument information:,查詢合約資訊:
GUI_QUERY_ACCOUNT,查询资金:,Query Account:,查詢資金:
GUI_QUERY_TRADE_RECORD,查询成交:,Query trade record,查詢成交:
GUI_QUERY_POSITION_DETAIL,查询持仓明细:,Query Position detail:,查詢持倉明細:
GUI_QUERY_ORDER,查询报单信息:,Query orders,查詢報單資訊:
GUI_LINK_STATUS,连接状态,Link status,連接狀態
GUI_TYPE,类型,Device Type,類型
HARDDISK_SOUND,PC喇叭发声,PC Speaker Voice,PC喇叭發聲
GUI_NAME,名称,Device Name,名稱
GUI_COMMEN,注释,Commentary,注釋
GUI_STATUS,状况,Status,狀況
GUI_SERVERITY,严重程度,Severity,嚴重程度
GUI_INSTRUCTION_FOR_USE,不能打开使用说明,Can't open instruction for use,不能打開使用說明
GUI_QUOTE,行情:,Quote:,行情:
GUI_TRADE,\n交易:,\nTrade:,\n交易:
GUI_PLUSIN_MANAGER,插件管理,Plus-in Manager,插件管理
GUI_REGISRTERED_PLUSIN,已注册的插件：,Registered plus-ins:,已註冊的插件：
GUI_PLUSIN_REGISTER,注册,Register,註冊
GUI_PLUSIN_UNREGISTER,卸载,Unregister,卸載
GUI_PLUSIN_NAME,插件名称,Plus-in name,插件名稱
GUI_PLUSIN_PATH,插件路径,Plus-in path,插件路徑
GUI_PLUSIN_STATUS,启动状态,Plus-in status,啟動狀態
GUI_PLUSIN_STATUS_STARTED,已启动,Started,已啟動
GUI_PLUSIN_STATUS_NOT_STARTED,未启动,Not Started,未啟動
GUI_PLUSIN_CANNOT_DEL_SYS_PLUSIN,无法删除系统插件！,Can not delete system plusin,無法刪除系統插件！
GUI_CHOOSE_FILE,选择文件,Choose file,選擇檔
GUI_LOAD_FAILED,加载 %s 失败,Failed to load file %s,載入 %s 失敗
GUI_GET_SERVER_ADDRESS_ERROR,"服务器地址读取失败,程序无法启动，请重新安装来修复","Failed to get server addresses, application can not start, please reinstall to repair it","伺服器位址讀取失敗,程式無法啟動，請重新安裝來修復"
GUI_INVALID_HANDLE,无效的窗口句柄！,Invalid Window Handle!,無效的窗口控制碼！
GUI_PERMISSION_DENIED,权限错误！,Permission Denied!,許可權錯誤！
GUI_PLUSIN_ALREADY_START,该插件已经启动！,This plus-in has already started! ,該插件已經啟動！
GUI_PLUSIN_API_VERSION_ERROR,插件API版本过低！,Plusin API version is too low!,插件API版本過低！
LOG_TYPE_ORDER,委托单,Order,委託單
LOG_TYPE_SYSTEM,系统,System,系統
LOG_TYPE_GLOBAL,全局,Global,全局
LOG_STR_HOST_SERVER_LOGON,交易服务器登录成功,Host Server Logon,交易伺服器登錄成功
LOG_STR_QUOTE_SERVER_LOGON,行情服务器登录成功,Quote Server Logon,行情伺服器登錄成功
LOG_STR_HOST_SERVER_DISCONNECTED,交易服务器连接中断,Host Server Disconnected,交易伺服器連接中斷
LOG_STR_QUOTE_SERVER_DISCONNECTED,行情服务器连接中断,Quote Server Disconnected,行情伺服器連接中斷
LOG_STR_HOST_SERVER_CONNECTED,交易服务器连接成功,Host Server Connected,交易伺服器連接成功
LOG_STR_QUOTE_SERVER_CONNECTED,行情服务器连接成功,Quote Server Connected,行情伺服器連接成功
LOG_STR_BEFORE_TRADE,开盘前,Before trading,開盤前
LOG_STR_NO_TRADE,非交易,No trading,非交易
LOG_STR_CONTINOUS,连续交易,Continous,連續交易
LOG_STR_AUCTION_ORDERING,集合竞价报单,Auction ordering,集合競價報單
LOG_STR_AUCTION_BALANCE,集合竞价价格平衡,Auction balance,集合競價價格平衡
LOG_STR_AUCTION_MATCH,集合竞价撮合,Auction match,集合競價撮合
LOG_STR_CLOSE,收盘,Close,收盤
ID_SYSTEM_READ_MSG,消息查看,Read Message,消息查看

ORDERTYPE_LIMIT,限价,LIMIT,限價
ORDERTYPE_MARKET,市价,MARKET,市價
ORDERTYPE_STOP,停止,STOP,停止
ORDERTYPE_STOPLIMIT,停止限价,STOP LIMIT,停止限價

GUI_LOADCONFIGAPP,设置下浮面板打开时不能使用选项设置,Function cannot used when config panel open.,設置下浮面板打開時不能使用選項設置
GUI_APPLYDEFAULT,是否要放弃当前全部配置，应用默认配置?,Are you sure spply default config?,是否要放棄當前全部配置，應用默認配置?
GUI_MODIFY_TRADE_PWD,修改交易密码,Modify trade PWD,修改交易密碼
GUI_MODIFY_ACCOUNT_PWD,修改资金密码,Modify account PWD,修改資金密碼
GUI_OLD_PWD,旧密码,Old PWD,舊密碼
GUI_NEW_PWD,新密码,New PWD,新密碼
ID_ORDERPARKEDSELECTDLG_LOCAL_HANDY,预埋(本地)，手动发出,"Park(local), Manual send",預埋(本地)，手動發出
ID_ORDERPARKEDSELECTDLG_LOCAL_AUTO,预埋(本地)，当重新进入交易状态时,"Park(local), Auto send",預埋(本地)，當重新進入交易狀態時
ID_ORDERPARKEDSELECTDLG_SERVER,预埋(服务器),Park(Server),預埋(伺服器)
DONOT_DELCUR,不能删除当前布局文件,Can not delete current layout,不能刪除當前佈局檔
TITLE_PRICE,价格: ,Pric: ,價格: 
TITLE_QTY,手数: ,QTY: ,手數: 
TITLE_PRICE2,价二: ,Prc2: ,價二: 
TITLE_ACCOUNT,帐号: ,Acct: ,帳號: 
BATCHDLG_SUM,共,Sum,共
BATCHDLG_BATCH,批,,批
BATCHDLG_ATNUM,到第,at,到第
BATCHDLG_REMIAN,发送还有,Remain,發送還有
BATCHDLG_SECOND,秒,S,秒
ORDER_CE_CHANGEFAILMSG,    下单失败！子单[%d]处下单失败。\n原因：\n    %s,    Order Fail! Entity[%d] is fail.\nCause: \n    %s,    下單失敗！子單[%d]處下單失敗。\n原因：\n    %s
ORDER_CE_CHANGEOK,下单成功！\n,Order Success!\n,下單成功！\n
ORDER_CE_REVOKEMSG,    撤单失败！子单[%d]处撤单失败。\n原因：\n    %s,    Cancel Fail! Entity[%d] is fail.\nCause: \n    %s,    撤單失敗！子單[%d]處撤單失敗。\n原因：\n    %s
ORDER_CE_REVOKEOK,撤单成功！\n,Cancel Success!\n,撤單成功！\n
ORDER_CE_CHANGEMSG,以价格:%s %s %s %s %s %d手 %s\n,Price:%s %s %s %s %s QTY:%d %s\n,以價格:%s %s %s %s %s %d手 %s\n
ORDER_CE_CHANGECOMFIRM,是否确认?,Confirm?,是否確認?
ORDER_IE_CHANGEFAILMSG,    下单失败！子单[%d]处下单失败。\n原因：\n    %s,    Order Fail! Entity[%d] is fail.\nCause: \n    %s,    下單失敗！子單[%d]處下單失敗。\n原因：\n    %s
ORDER_IE_CHANGEOK,下单成功！\n,Order Success!\n,下單成功！\n
ORDER_IE_REVOKEMSG,    撤单失败！子单[%d]处撤单失败。\n原因：\n    %s,    Cancel Fail! Entity[%d] is fail.\nCause: \n    %s,    撤單失敗！子單[%d]處撤單失敗。\n原因：\n    %s
ORDER_IE_REVOKEOK,撤单成功！\n,Cancel Success!\n,撤單成功！\n
ORDER_IE_TITLE,下单: \n,Order: \n,下單: \n
ORDER_IE_CHANGEMSG,以价格:%s %s %s %s %s %d手 %s\n,Price:%s %s %s %s %s QTY:%d %s\n,以價格:%s %s %s %s %s %d手 %s\n
ORDER_IE_CHANGECOMFIRM,是否确认?,Confirm?,是否確認?
ID_ORDERPARKEDSELECTDLG_LOCAL_HANDY,预埋(本地)，手动发出,"Park(local), Manual send",預埋(本地)，手動發出
ID_ORDERPARKEDSELECTDLG_LOCAL_AUTO,预埋(本地)，当重新进入交易状态时,"Park(local), Auto send",預埋(本地)，當重新進入交易狀態時
ID_ORDERPARKEDSELECTDLG_SERVER,预埋(服务器),Park(Server),預埋(伺服器)
ID_FAKFOK_STATICE1,最小数量,Minimum Volume,最小數量
FAK_ERROR_MSG,FAK指令的[最小数量]必须>0且<=[下单手数]，您是否继续？,"FAK Directive [minimum amount] must be> 0 and <= [number with one hand], you want to continue?",FAK指令的[最小數量]必須>0且<=[下單手數]，您是否繼續？


CFieldValueTool_Buy,买　,Buy,買　
CFieldValueTool_Sell,卖,Sell,賣
CFieldValueTool_Open,开仓,Open,開倉
CFieldValueTool_Close,平仓,Close,平倉
CFieldValueTool_ForceClose,强平,ForceClose,強平
CFieldValueTool_CloseToday,平今,CloseToday,平今
CFieldValueTool_CloseYesterday,平昨,CloseYesterday,平昨
CFieldValueTool_Speculation,投机,Speculation,投機
CFieldValueTool_Hedge,套保,Hedge,套保
CFieldValueTool_AllTraded,全部成交,AllTraded,全部成交
CFieldValueTool_PartTradedQueueing,部分成交还在队列中,PartTradedQueueing,部分成交還在佇列中
CFieldValueTool_PartTradedNotQueueing,部分成交不在队列中,PartTradedNotQueueing,部分成交不在佇列中
CFieldValueTool_NoTradeQueueing,未成交还在队列中,NoTradeQueueing,未成交還在佇列中
CFieldValueTool_NoTradeNotQueueing,未成交不在队列中,NoTradeNotQueueing,未成交不在佇列中
CFieldValueTool_Canceled,撤单,Canceled,撤單
CFieldValueTool_NotTouched,条件未触发,NotTouched,條件未觸發
CFieldValueTool_Touched,条件已触发,Touched,條件已觸發
CFieldValueTool_Error,错误,Error,錯誤
CFieldValueTool_InsertSubmitted,已经提交,InsertSubmitted,已經提交
CFieldValueTool_CancelSubmitted,撤单已经提交,CancelSubmitted,撤單已經提交
CFieldValueTool_ModifySubmitted,修改已经提交,ModifySubmitted,修改已經提交
CFieldValueTool_Accepted,已经接受,Accepted,已經接受
CFieldValueTool_InsertRejected,报单已经被拒绝,InsertRejected,報單已經被拒絕
CFieldValueTool_CancelRejected,撤单已经被拒绝,CancelRejected,撤單已經被拒絕
CFieldValueTool_ModifyRejected,改单已经被拒绝,ModifyRejected,改單已經被拒絕
CFieldValueTool_AnyPrice,市价,Maket,市價
CFieldValueTool_LimitPrice,限价,Limit,限價
CFieldValueTool_BestPrice,最优价,BestPrice,最優價
CFieldValueTool_LastPrice,最新价,LastPrice,最新價
CFieldValueTool_LastPricePlusOneTicks,最新价浮动上浮1个ticks,LastPricePlusOneTicks,最新價浮動上浮1個ticks
CFieldValueTool_LastPricePlusTwoTicks,最新价浮动上浮2个ticks,LastPricePlusTwoTicks,最新價浮動上浮2個ticks
CFieldValueTool_LastPricePlusThreeTicks,最新价浮动上浮3个ticks,LastPricePlusThreeTicks,最新價浮動上浮3個ticks
CFieldValueTool_AskPrice1,卖一价,AskPrice1,賣一價
CFieldValueTool_AskPrice1PlusOneTicks,卖一价浮动上浮1个ticks,AskPrice1PlusOneTicks,賣一價浮動上浮1個ticks
CFieldValueTool_AskPrice1PlusTwoTicks,卖一价浮动上浮2个ticks,AskPrice1PlusTwoTicks,賣一價浮動上浮2個ticks
CFieldValueTool_AskPrice1PlusThreeTicks,卖一价浮动上浮3个ticks,AskPrice1PlusThreeTicks,賣一價浮動上浮3個ticks
CFieldValueTool_BidPrice1,买一价,BidPrice1,買一價
CFieldValueTool_BidPrice1PlusOneTicks,买一价浮动上浮1个ticks,BidPrice1PlusOneTicks,買一價浮動上浮1個ticks
CFieldValueTool_BidPrice1PlusTwoTicks,买一价浮动上浮2个ticks,BidPrice1PlusTwoTicks,買一價浮動上浮2個ticks
CFieldValueTool_BidPrice1PlusThreeTicks,买一价浮动上浮3个ticks,BidPrice1PlusThreeTicks,買一價浮動上浮3個ticks
CFieldValueTool_Net,净,Net,淨
CFieldValueTool_Long,买　,Long,買　
CFieldValueTool_Short,卖,Short,賣
CFieldValueTool_YES,是,Yes,是
CFieldValueTool_NO,否,No,否
CFieldValueTool_Common,普通成交,Common,普通成交
CFieldValueTool_OptionsExecution,期权执行,OptionsExecution,期權執行
CFieldValueTool_OTC,OTC成交,OTC,OTC成交
CFieldValueTool_EFPDerived,期转现衍生成交,EFPDerived,期轉現衍生成交
CFieldValueTool_CombinationDerived,组合衍生成交,CombinationDerived,組合衍生成交
CFieldValueTool_SplitCombination,组合持仓拆分为单一持仓,SplitCombination,組合持倉拆分爲單一持倉
CFieldValueTool_NotForceClose,非强平,NotForceClose,非強平
CFieldValueTool_LackDeposit,资金不足,LackDeposit,資金不足
CFieldValueTool_ClientOverPositionLimit,客户超仓,ClientOverPositionLimit,客戶超倉
CFieldValueTool_MemberOverPositionLimit,会员超仓,MemberOverPositionLimit,會員超倉
CFieldValueTool_NotMultiple,持仓非整数倍,NotMultiple,持倉非整數倍
CFieldValueTool_Violation,违规,Violation,違規
CFieldValueTool_Other,其它,Other,其他
CFieldValueTool_Normal,正常,Normal,正常
CFieldValueTool_DeriveFromQuote,报价衍生,DeriveFromQuote,報價衍生
CFieldValueTool_DeriveFromCombination,组合衍生,DeriveFromCombination,組合衍生
CFieldValueTool_Combination,组合报单,Combination,組合報單
CFieldValueTool_CombinationInstrument,组合合约,Combination,組合合約
CFieldValueTool_ConditionalOrder,条件单,ConditionalOrder,條件單
CFieldValueTool_Swap,互换单,Swap,互換單
CFieldValueTool_IOC,立即完成，否则撤销,IOC,立即完成，否則撤銷
CFieldValueTool_ITTForceClose,强平,Forece Close,強平
CFieldValueTool_GFS,本节有效,GFS,本節有效
CFieldValueTool_GFD,当日有效,GFD,當日有效
CFieldValueTool_GTD,指定日期前有效,GTD,指定日期前有效
CFieldValueTool_GTC,撤销前有效,GTC,撤銷前有效
CFieldValueTool_GFA,集合竞价有效,GFA,集合競價有效
CFieldValueTool_AV,任何数量,Any Volume,任何數量
CFieldValueTool_MV,最小数量,Minimum Volume,最小數量
CFieldValueTool_CV,全部数量,Complete Volume,全部數量
CFieldValueTool_code0,成功,Success,成功
CFieldValueTool_code1,网络连接失败,Network connection fails,網路連接失敗
CFieldValueTool_code2,未处理请求超过许可数,The number of pending requests exceeds the approved,未處理請求超過許可數
CFieldValueTool_code3,每秒发送请求数超过许可数,The number of requests sent per second over permits,每秒發送請求數超過許可數
CFieldValueTool_code98,帐号无交易权限,Account have not trading privileges,帳號無交易許可權
CFieldValueTool_code99,无效的交易帐号,Invalid Account,無效的交易帳號
CFieldValueTool_code999,其它原因失败,Other reasons for failure,其他原因失敗
CFieldValueTool_Futures,期货,Futures,期貨
CFieldValueTool_Options,期权,Options,期權
CFieldValueTool_Spot,即期,Spot,即期
CFieldValueTool_EFP,期转现,EFP,期轉現
CFieldValueTool_SpotOption,现货期权,StopOption,現貨期權
CFieldValueTool_PrePositon,昨仓,Pre Position,昨倉
CFieldValueTool_TodayPositon,今仓,Today Position,今倉
CFieldValueTool_Queued,报单已提交,Submitted to PATSAPI,報單已提交
CFieldValueTool_Sent,系统已接收报单,"Received by Patsystems server, order is in transit",系統已接收報單
CFieldValueTool_Working,交易所已接收报单,Accepted by exchange as a valid order,交易所已接收報單
CFieldValueTool_Rejected,报单被拒绝,"Rejected, either by Patsystems or by the exchange",報單被拒絕
CFieldValueTool_Cancelled,已撤单,Order has been cancelled,已撤單
CFieldValueTool_BalCancelled,未结余额已撤销,The outstanding balance has been cancelled,未結餘額已撤銷
CFieldValueTool_PartFilled,部分成交,Order has been partly filled,部分成交
CFieldValueTool_Filled,全部成交,Order has been completely filled,全部成交
CFieldValueTool_CancelPending,系统撤单,"The requested cancel received by Patsystems server, order is in transit",系統撤單
CFieldValueTool_AmendPending,系统改单,"The requested amend received by Patsystems server, order is in transit",系統改單
CFieldValueTool_UnconfirmedFilled,不确定的全部成交,The order has filled but the fills have not yet reached PATS,不確定的全部成交
CFieldValueTool_UnconfirmedPartFilled,不确定的部分成交,The order has part filled but the fills have not reached PATS,不確定的部分成交
CFieldValueTool_Unknown,-,-,-
CFieldValueTool_UNKOWN,未知,Unknown,未知
CFieldValueTool_HeldOrder,组合单等待触发,Order is a synthetic order waiting for price to trigger,組合單等待觸發
CFieldValueTool_CancelHeldOrder,组合单撤单,Synthetic order has been cancelled,組合單撤單
CFieldValueTool_Transferred,非用户账户下单,Transferred the order to a trader account not in the user's Trader Account Group,非用戶帳戶下單
CFieldValueTool_ExternalCancelled,交易所闭市撤单,The order was cancelled because the exchange has closed,交易所閉市撤單
CFieldValueTool_ExchangeName_SHFE,上期所,SHFE,上期所
CFieldValueTool_ExchangeName_CFFEX,中金所,SHFE,中金所
CFieldValueTool_ExchangeName_DCE,大商所,SHFE,大商所
CFieldValueTool_ExchangeName_CZCE,郑商所,SHFE,鄭商所
CFieldValueTool_CombState_CommonPosition,普通持仓,Common Position,普通持倉
CFieldValueTool_CombState_CombPosition,组合持仓,Combination Position,組合持倉

BT_SELECT_BANK,点击选择银行列表,Please select bank,點擊選擇銀行列表
BT_NO_QUERY_BANK,无法查询到签约银行,Can not Query Bank,無法查詢到簽約銀行
BT_BTN_SEND,发送,Send,發送
BT_BTN_TRANS,查询转账,Query Transfer,查詢轉賬
BT_STA_BANKPSW,银行密码,Bank Password,銀行密碼
BT_STA_TANSAMNT,转账金额,Tansfer Amount,轉賬金額
BT_STA_ACCPSW,资金密码,Account Password,資金密碼
BT_CMB_TYPE_QUERY,查询银行余额,Query Bank Balance,查詢銀行餘額
BT_CMB_TYPE_B2M,银行卡->保证金,Bank Card -> Margin,銀行卡->保證金
BT_CMB_TYPE_M2B,保证金->银行卡,Margin -> Bank Card ,保證金->銀行卡
BT_CURRENCYID_CNY,CNY,CNY,CNY
BT_CURRENCYID_USD,USD,USD
BT_STA_TANSTYPE,转账类别,Tansfer Type,轉賬類別
BT_STA_USEAMOUNT,可转资金,Available,可轉資金
BT_DETAIL_INDEX,流水号,Index,流水號
BT_DETAIL_ACCOUNT,银行账号,Bank Account,銀行帳號
BT_DETAIL_TYPE,操作类别,Operate Type,操作類別
BT_DETAIL_AMOUNT,金额,Amount,金額
BT_DETAIL_RESULT,处理结果,Result,處理結果
BT_DETAIL_DATETIME,操作时间,Operate Time,操作時間
BT_DETAIL_BANKNAME,银行简称,Bank Name,銀行簡稱
BT_DETAIL_BANKID,银行代码,Bank ID,銀行代碼
BT_DETAIL_CURENCY,币种名称,Currency ,幣種名稱
BT_ERROR_SELECTBANK,请先选择银行!,Please select bank!,請先選擇銀行!
BT_ERROR_AMOUNT,错误的转账金额,Tansfer Amount is Error.,錯誤的轉賬金額





BankTransfer_NoType,请选择转账类别,No transfer type is selected.,請選擇轉賬類別
BankTransfer_DLGTitle,银期转账,Bank Future Transfer,銀期轉賬
BankTransfer_SelectBank,选择银行,Select Bank,選擇銀行
